input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_transits,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_sigma5d_max,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,bp_g,bp_rp,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_quasar,classprob_dsc_combmod_star,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,duplicated_source,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,g_rp,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,has_rvs,has_xp_continuous,has_xp_sampled,in_andromeda_survey,in_galaxy_candidates,in_qso_candidates,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,libname_gspphot,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,matched_transits,matched_transits_removed,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,new_matched_transits,non_single_star,nu_eff_used_in_astrometry,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,phot_variable_flag,pm,pmdec_pseudocolour_corr,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra_dec_corr,radial_velocity,radial_velocity_error,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr,ref_epoch,rv_amplitude_robust,rv_atm_param_origin,rv_chisq_pvalue,rv_expected_sig_to_noise,rv_method_used,rv_nb_deblended_transits,rv_nb_transits,rv_renormalised_gof,rvs_spec_sig_to_noise,rv_template_fe_h,rv_template_logg,rv_template_teff,rv_time_duration,rv_visibility_periods_used,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,solution_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,vbroad,vbroad_error,vbroad_nb_transits,visibility_periods_used,other_ids
HD 189733,9.917338458577184E-4,1827242816182176512,Gaia DR3 1827242816182176512,300.18318127620523,22.711090387243765,60.96376706725118,-3.9229640622882926,308.7422421012948,42.17615786490888,,,,19.175415,,,0.5269371,0.91355115,,,,,,,,153.08243,1.7976989,2.341852,2.9568205,14,1,110,0,111,3,false,2.425418,,,,,,5.521188E-5,0.0011907344,0.998069,,,,,,,,false,,,,,,,,false,false,false,false,false,false,false,false,false,false,0,52,0.08592302,41.262917,,,,,21,0,,,,16,0,,,,,,,,,,,0,,402.513622149291,8.415051,47.83258,124,0,,,,,,0,NOT_AVAILABLE,,,,,,,0.26670116,,,1594562368,,,,,2016.0,,,,,,,,,,,,,,,-135.40398,87.66916,32.679855,-4.2459025,0.60997975,0.2218619,0.36716074,0.41376594,1636148068921376768,,,,,,,8,
GJ 1214,0.004213334586643627,4393265392168829056,Gaia DR3 4393265392168829056,258.8314799887317,4.960575338342743,26.162102866681963,23.606921889954354,257.38646444275264,27.912137997662924,68.29864790496704,580.202152322342,-749.7132787585067,12.996782,14.91244,11.682912,0.045903143,0.038216367,0.06518708,0.05906993,0.046714574,1.0086675,,,,13057.974,0.5469547,335.1923,0.2818721,52,2,456,165,458,95,false,0.084117495,,,,1.915658,3.2295284,5.1218144E-13,1.0253985E-13,0.99994874,-0.22213419,-0.4325224,0.08618778,0.20431629,,,,false,,,,1.3138704,11.078152,0.013639152,14,true,false,false,true,false,true,true,false,false,false,0,0,0.011371522,4.989661,,,,,53,0,,,,53,0,,1047.7328,0.19589038,-0.22380278,-0.019663539,14806.104273351062,35.564903,416.31223,1,0,52,1.5359805,119188.31208153605,107.72342,1106.429,455,0,168264.81528531387,168.92189,996.11017,0,0,53,VARIABLE,948.0003,-0.12994143,0.17333432,-0.03527803,1.190121,0.010258161,-0.007916665,20.906527,0.65496844,1766838500,-0.077302024,0.09264637,-0.13887437,-0.055453286,2016.0,8.797407,333,0.94350326,39.524757,1,6,20,-3.014871,,-1.5,3.0,3100.0,956.7583,14,,,,,,,,,1636148068921376768,,,,,,,21,
LHS 3844,0.0035565129528837714,6385548541499112448,Gaia DR3 6385548541499112448,340.4963344829453,-69.17220908339867,318.2493265143219,-43.9061106511982,304.8854848569304,-54.126003923683726,67.21234716183032,334.41936695017966,-726.9859085966832,13.36496,15.425902,12.036604,0.015383282,0.014817746,0.018697714,0.021282766,0.020385733,1.1623862,3.0E-4,0.0,6.0E-4,1103.1646,0.15494794,19.159159,4.387698,46,6,385,0,391,31,false,0.032235846,4.0E-4,1.0E-4,0.0011,2.0609426,3.3892984,5.0991345E-13,1.020858E-13,0.99999374,-0.061610486,-0.16138026,0.021432685,,14.8525,14.8019,14.8958,false,2.0E-4,0.0,5.0E-4,1.3283558,11.457949,0.009887907,22,false,false,true,true,false,true,true,false,false,false,0,0,0.0116880275,54.333237,MARCS,5.0452,5.0218,5.0706,49,0,-0.1548,-0.2082,-0.1099,20,0,1.211388,3594.6824,0.03975244,-0.17961551,,9226.90191499323,30.111656,306.42294,1,0,45,1.5393823,84910.79221312457,51.80411,1639.0743,417,0,121483.2684406155,142.57072,852.09125,0,0,46,NOT_AVAILABLE,800.2155,,-0.23907118,,,,-0.18021844,-9.902071,0.76132834,697372640,0.16866891,-6.0679036E-4,0.08480946,,2016.0,13.516387,101,0.09741017,31.667503,1,4,26,-0.23032573,,0.5,4.5,3200.0,998.1221,20,-93.2066,35.367043,30.202522,-31.862625,0.104901515,0.17653717,0.026391298,0.23993605,1636148068921376768,2963.0146,2958.79,2966.5093,,,,28,
55 Cnc,0.0023951227970538695,704967037090946688,Gaia DR3 704967037090946688,133.146760620834,28.329783000362703,196.79527001795105,37.69655136807594,127.7306466533782,10.36550427987805,79.44818375718161,-485.6808133468651,-233.51700529342878,5.732681,6.155681,5.1470094,0.02994385,0.01983439,0.042877857,0.040257532,0.03707892,0.8584381,0.0,0.0,1.0E-4,1899.8955,0.1935979,50.693005,-3.814613,42,14,355,369,369,31,true,0.0699446,0.0,0.0,1.0E-4,0.42300034,1.0086718,5.377252E-13,1.0765377E-13,0.99944246,0.3528366,0.28161633,-0.016305404,,12.5796,12.5712,12.5965,false,0.0,0.0,1.0E-4,0.5856714,4.945579,0.004625481,21,false,false,true,true,false,true,true,false,false,false,0,0,0.092364475,163.81828,MARCS,4.4506,4.4466,4.4514,48,21,0.2849,0.239,0.2928,4,0,1.5152662,1852.8954,-0.18424875,0.342694,,4.7113396305352494E7,24574.703,1917.1501,0,0,44,1.2131178,9.59123329873133E7,32981.445,2908.0693,402,0,6.92395692728534E7,62787.61,1102.7585,0,0,42,NOT_AVAILABLE,538.90265,,-0.67112404,,,,-0.5044337,27.187504,0.12249401,891648565,-0.25418755,0.11613814,0.079438254,,2016.0,0.58758926,222,0.14368352,995.4698,1,0,21,,,0.25,4.5,5250.0,750.99615,10,,,,,,,,,1636148068921376768,5184.4775,5178.8193,5185.935,,,,14,
GJ 357,7.84168144713542E-4,5664814202726212224,Gaia DR3 5664814202726212224,144.0066157897344,-21.660038885485815,253.88391582464396,22.083353629481042,154.7712131867027,-33.773081947407746,0.38621437157275307,-4.3663939638261455,1.905051737381262,15.977576,16.299225,15.498565,0.052143008,0.032478698,0.045959257,0.07121606,0.040821634,1.0049562,0.005,0.0011,0.0148,223.5968,0.05677308,0.2257835,0.13434742,25,1,217,0,218,31,false,0.10102492,0.006,0.0013,0.0177,0.3216486,0.80066013,5.2063264E-13,1.0423116E-13,0.9997813,0.13309602,-0.3459231,0.07395538,,1406.2151,1361.815,1450.8477,false,0.0027,6.0E-4,0.008,0.47901154,,,,false,false,true,true,false,true,false,false,false,false,0,0,0.00458402,31.823948,MARCS,4.5815,4.5522,4.6113,28,0,-0.3179,-0.3499,-0.2799,16,0,1.5555322,8.403407,-0.19355647,0.2478708,,4127.882232632409,18.309275,225.45308,0,0,22,1.1936349,7654.488882475265,4.5534134,1681.0442,195,0,5008.782897277664,20.28781,246.88634,1,0,20,NOT_AVAILABLE,4.763887,,0.3215589,,,,0.1855181,,,613416607,-0.044758134,0.11767805,0.04186036,,2016.0,,,,,,,,,,,,,,,-151.07524,-11.139843,45.6266,-16.511986,0.26841617,0.3018127,0.1558986,0.5611569,1636148068921376768,5714.0425,5704.9653,5732.8853,,,,15,"Gaia DR2 5664814202726212224, Gaia E/DR1 5664814202725005440"
GJ 1132,0.004455089961732779,5413438215093388544,Gaia DR3 5413438215093388544,153.71733182599468,-47.16104258890952,277.26277069536116,7.757262437922993,181.45114380873758,-52.42179139326746,0.1377997493438489,-4.985481411630992,1.9378000124682089,18.108063,18.436512,17.602798,0.07142269,0.07884922,0.09480654,0.09580506,0.100811124,1.0415416,0.0051,0.0013,0.0133,567.32,0.22951457,0.7028563,1.3283753,59,2,507,0,509,31,false,0.14742084,0.006,0.0016,0.0159,0.32844925,0.83371353,5.125269E-13,1.9330068E-10,0.9999802,0.11614974,-0.29614407,0.114022695,,2641.6047,2583.465,2686.5322,false,0.0028,7.0E-4,0.0073,0.5052643,,,,false,false,true,true,false,false,false,false,false,false,1,0,0.0074144523,174.57042,MARCS,4.7125,4.6907,4.7311,71,0,-1.9052,-2.0975,-1.7635,24,0,1.5541214,1.4534836,0.06274442,0.110018104,,576.5173607957647,6.2647686,92.02532,3,0,63,1.2062837,1075.7749552843072,1.0301007,1044.3396,595,0,721.1724269995602,6.64375,108.548996,1,0,62,NOT_AVAILABLE,5.34884,,0.15126348,,,,0.059948273,,,1157566842,-0.077546135,0.099770285,-0.19454592,,2016.0,,,,,,,,,,,,,,,-90.73983,-55.733646,-34.326176,-40.294777,0.26779115,0.18282768,0.09413406,0.28922498,1636148068921376768,5601.4204,5587.1274,5618.3926,,,,27,"Gaia DR2 5413438215093388544, Gaia E/DR1 5413438215093388544"
L 98-59,0.0015691031014135497,5271055243163629056,Gaia DR3 5271055243163629056,124.53289609935437,-68.31451297878304,281.81709264813554,-17.593314203370515,203.3296278716351,-76.81364116363356,94.26635965165642,94.79378412168865,-340.08431073762046,10.605513,11.960904,9.457217,0.014212374,0.016547402,0.015486798,0.018168053,0.019535838,1.2720871,0.002,7.0E-4,0.0059,1798.7758,0.17116408,41.79738,7.2016525,44,3,383,386,386,31,true,0.028089674,0.0031,0.0011,0.0092,1.3553915,2.503687,6.868207E-13,1.3750302E-13,0.99648726,0.10469908,-0.3214637,0.1741449,,10.6115,10.5637,10.647,false,0.0013,4.0E-4,0.0037,1.1482954,8.917353,0.005964469,15,false,false,true,true,true,true,true,false,false,false,1,0,0.01335232,9.65556,PHOENIX,4.4731,4.3228,4.8136,51,0,-0.7106,-0.8808,-0.3188,19,0,1.2865422,6086.885,0.09255161,0.19971688,,224416.81810806572,266.26154,842.84357,0,0,47,1.4201959,1078304.9049857724,411.50092,2620.4192,419,0,1306987.4044333196,794.34204,1645.3711,0,0,47,NOT_AVAILABLE,353.04843,,-0.03717564,,,,-0.019533878,-6.095192,0.1916073,124866589,-0.008904358,0.13753417,-0.058556657,,2016.0,2.1620245,440,0.6371572,148.00679,1,4,22,-4.0831065,166.2419,0.0,4.5,3500.0,985.4728,19,,,,,,,,,1636148068921376768,3178.8445,3140.4534,3305.844,,,,28,
TRAPPIST-1,0.0018134473555132676,2635476973180461312,Gaia DR3 2635476973180461312,346.62145556676313,-5.039830440777542,69.71365607015812,-56.64285854108121,345.7337307380368,0.6350759641384083,0.30003912324072013,-7.956778824449274,-5.29331543808938,18.534805,18.999048,17.899082,0.14898673,0.1393058,0.18209015,0.21550919,0.18042256,0.9480807,0.0072,0.0017,0.0185,208.0417,0.0,0.0,-1.0720605,26,1,227,0,228,31,false,0.3156156,0.009,0.0021,0.0231,0.46424294,1.099966,1.0002631E-10,1.5966396E-10,0.9999895,-0.3416024,-0.15398726,-0.1858549,,1805.5983,1754.5583,1880.3414,false,0.0039,9.0E-4,0.0101,0.6357231,,,,false,false,true,false,false,false,false,false,false,false,0,0,0.0072742393,15.838108,MARCS,4.8547,4.8245,4.8739,26,0,-1.9807,-2.1065,-1.6805,9,0,1.4907484,1.6477504,-0.019321496,0.26658276,,343.3980224983418,9.562153,35.91221,1,0,21,1.2288675,726.1468628230677,1.4674053,494.85092,216,0,548.9402420008083,12.147306,45.190285,2,0,24,NOT_AVAILABLE,9.556648,,0.22660106,,,,0.12784374,,,840803829,0.18531619,-0.105811775,-0.12382154,,2016.0,,,,,,,,,,,,,,,-94.51056,-10.015445,-52.409477,23.06111,0.2084556,0.22745216,0.39675692,0.8538623,1636148068921376768,4896.692,4875.327,4918.3066,,,,15,"Gaia DR2 2635476973180461312, Gaia E/DR1 2635476973180461312"
LHS 1140,0.001067319178792504,2371032989200665984,Gaia DR3 2371032989200665984,11.246744008708353,-15.27057260722634,115.3987393651685,-78.04786333341082,4.102134364377162,-18.450514547322243,3.1324433185819003,38.76115366265606,9.81176986631456,16.666618,17.971657,15.53506,0.0624299,0.038040258,0.08192824,0.07964903,0.09175429,1.0490935,0.4505,0.4231,0.4666,357.6585,0.1345456,0.9036098,1.2413131,36,2,316,0,318,31,false,0.14361459,0.6766,0.6361,0.7003,1.3050385,2.4365969,6.868289E-13,1.3750302E-13,0.99648726,0.06071905,-0.08865111,-0.06565724,,274.0786,267.2051,280.7764,false,0.2751,0.2585,0.2846,1.1315584,,,,false,false,true,true,false,true,false,false,false,false,0,0,0.016833128,45.410126,MARCS,4.5611,4.4212,4.6315,45,0,-0.5646,-0.7674,-0.4694,6,0,1.2896082,38.23399,0.0059198206,0.12656303,,884.6145497703455,8.1687155,108.292984,6,0,39,1.4115329,4057.8818707756277,2.709162,1497.8365,348,0,4843.219010828938,13.4792,359.31055,3,0,42,NOT_AVAILABLE,39.98372,,0.44361567,,,,0.2470457,,,837212752,0.5353687,-0.066546984,0.10317823,,2016.0,,,,,,,,,,,,,,,-24.219063,-16.897995,16.7336,13.386739,0.5071567,0.40459952,0.09502803,0.52875894,1636148068921376768,3515.6624,3477.9106,3532.3484,,,,15,"Gaia DR2 2371032989200665984, Gaia E/DR1 2371032989200108032"
WASP-178,5.196281211783198E-5,6003809889735481856,Gaia DR3 6003809889735481856,227.27032703913974,-42.70496654225058,328.19378434260534,13.315091960651596,236.9048471215132,-24.05030137518067,2.424837486926974,-10.24347465311499,-5.63608880634272,9.91579,9.950139,9.833648,0.015203379,0.014341881,0.021581797,0.026152687,0.022236705,0.9790829,,,,1158.2549,0.14025575,28.849422,-0.49144012,36,7,310,317,317,31,false,0.036796793,,,,0.03434944,0.11649132,5.140889E-13,1.0292174E-13,0.99991137,-0.09519727,0.21809185,0.021236153,,,,,false,,,,0.082141876,9.7930355,0.0071025533,7,true,false,false,true,false,true,true,false,false,false,0,0,0.010050391,11.862041,,,,,40,2,,,,10,0,1.7217017,112.355675,0.24965201,-0.20423421,,1430083.255021251,592.383,2414.1194,0,0,38,1.1566486,2035312.3840330217,552.29645,3685.181,336,0,924057.9491079627,280.61063,3293.0254,0,0,38,VARIABLE,11.691632,,-0.09698348,,,,-0.27728975,-24.455511,0.26753217,1311046719,-0.050715286,-0.068828195,0.017141555,,2016.0,2.5522556,555,0.99984115,73.485725,1,7,17,-3.4396424,,0.25,4.5,9000.0,926.2786,15,,,,,,,,,1636148068921376768,,,,,,,17,
V1298 Tau,7.528732640066694E-5,51886335968692480,Gaia DR3 51886335968692480,61.33165479112041,20.157029557698824,172.89485761249486,-23.37695969750374,63.23160620853915,-0.6576847313970973,9.257706336697265,5.412668487908132,-16.05162768564503,10.080556,10.5562525,9.437981,0.018596608,0.01064084,0.019753907,0.02926927,0.013502399,1.0351886,0.1109,0.0996,0.1315,857.2534,0.08711312,10.711721,0.99236673,45,5,388,393,393,31,true,0.040749766,0.1391,0.125,0.1647,0.47569656,1.1182718,5.3345235E-13,1.0679834E-13,0.99952716,-0.12078583,0.71946084,-0.1002538,,107.5793,107.33,107.8428,false,0.0592,0.0532,0.0702,0.64257526,9.18943,0.010893788,8,false,false,true,true,false,false,false,false,false,false,0,0,0.022574138,148.46695,MARCS,4.2265,4.2192,4.2365,56,0,-0.3402,-0.3627,-0.3057,8,0,1.491823,468.65192,-0.27201572,0.021839779,,818306.504256306,1740.4258,470.17606,0,0,46,1.2286909,1748736.7003194392,1167.8774,1497.3632,410,0,1330350.2998980389,2381.0662,558.7204,0,0,47,NOT_AVAILABLE,16.93965,,-0.16089137,,,,0.09113439,14.136705,0.6526066,742233127,-0.17535728,0.12305016,-0.15208213,,2016.0,6.3470507,222,1.2183587E-12,112.61368,1,5,17,5.715417,,0.25,4.5,5250.0,733.3172,9,,,,,,,,,1636148068921376768,4940.6465,4924.2236,4971.7563,40.857746,9.532239,8,15,"Gaia DR2 51886335968692480, Gaia E/DR1 51886331671914496"
K2-141,5.290036358787664E-4,2643952940813536768,Gaia DR3 2643952940813536768,350.9170625673834,-1.1891792403354395,80.19879507848769,-56.5953037091516,351.1871246564206,2.506916102739223,16.13029393685726,116.32476036497832,25.21354227268836,10.718701,11.347565,9.9648485,0.015798239,0.013353655,0.01758546,0.020285273,0.014780175,1.2891843,0.012,0.0039,0.0236,707.8655,0.115689315,15.460853,6.156989,28,0,250,250,250,31,true,0.028369898,0.0159,0.0052,0.0311,0.62886333,1.3827162,5.161547E-13,1.03335316E-13,0.99987,-0.23575047,0.029994734,-0.1843446,,62.2646,61.994,62.8369,false,0.0063,0.002,0.0124,0.75385284,9.684654,0.006837776,9,true,false,true,true,false,true,true,false,false,false,1,0,0.011803341,97.66845,MARCS,4.5774,4.5636,4.5869,36,1,0.159,0.0988,0.251,11,0,1.438385,917.2518,-0.16587582,0.019711595,,394812.5612920648,523.13257,754.70844,0,0,33,1.2492274,971552.3812125691,330.971,2935.4607,292,0,818877.2473598877,645.02844,1269.5211,0,0,32,VARIABLE,119.02593,,0.10603836,,,,0.13850546,-3.1390147,0.1977652,517532232,0.08321366,-0.17172551,-0.05145321,,2016.0,1.8175383,440,0.96880955,76.57691,1,3,14,-2.1098514,,0.0,5.0,4500.0,1028.5818,11,,,,,,,,,1636148068921376768,4436.6133,4424.7217,4455.5464,,,,16,
WD 1856+534,0.001095114270926023,2146576589564898688,Gaia DR3 2146576589564898688,284.4157312016983,53.509017102025624,83.49861463125494,20.62280468890565,305.3584890843264,75.17652446373724,40.39310935403938,240.7492368572938,-52.4701406612122,16.942257,17.473812,16.261986,0.05522275,0.051071003,0.050550234,0.071992084,0.06262324,1.0818938,,,,343.45227,0.16334714,1.055852,1.9439627,34,3,286,0,289,31,false,0.1056205,,,,0.5315552,1.2118263,5.118573E-13,1.02474974E-13,0.9999562,0.12305766,-0.4128268,0.13695613,,,,,false,,,,0.68027115,,,,false,false,false,false,false,true,false,false,false,false,0,0,0.0067091626,127.53464,,,,,35,0,,,,14,0,1.471474,799.06866,-0.09929917,-0.06759504,,1399.240383262614,11.035568,126.793686,3,0,31,1.2321014,3148.0664638366657,2.1295018,1478.3113,291,0,2479.4969406706277,10.537185,235.30923,1,0,29,NOT_AVAILABLE,246.40071,,-0.2089557,,,,-0.28373364,,,1772535163,-0.10731598,0.1758184,0.015277151,,2016.0,,,,,,,,,,,,,,,-99.93466,29.517736,6.908108,31.495739,0.22339247,0.30358937,0.021127898,0.35063866,1636148068921376768,,,,,,,23,
HD 209458b,1.5366248537523343E-4,1779546757669063552,Gaia DR3 1779546757669063552,330.79502626424147,18.88423938290383,76.75336916794242,-28.527054381417315,340.35422444594076,28.72407919391348,20.76938988528237,29.76638948770287,-17.976036440051033,7.5212455,7.7932835,7.080288,0.021287126,0.02266579,0.02657181,0.027650503,0.024745557,0.9842082,0.0,0.0,1.0E-4,372.5771,0.14423454,12.115457,-0.2489604,19,2,168,170,170,31,true,0.040172458,0.0,0.0,1.0E-4,0.27203798,0.7129955,6.868207E-13,1.3750302E-13,0.99648726,-0.10946465,-0.18626043,-0.18658172,,48.0623,48.0034,48.1209,false,0.0,0.0,1.0E-4,0.44095755,6.923002,0.005409398,13,true,false,true,true,false,true,true,false,false,false,0,0,0.027398,137.80368,MARCS,4.237,4.2337,4.2396,23,2,-0.3061,-0.3179,-0.294,10,0,1.584458,781.63245,-0.17382498,-0.3098697,,1.0425660308672572E7,5468.5356,1906.4812,0,0,21,1.1963098,1.8469224005579416E7,5705.765,3236.941,202,0,1.1669252416637152E7,7546.7344,1546.2651,0,0,19,VARIABLE,34.773205,,0.090515494,,,,0.071421914,-14.7757635,0.15868707,1169289699,0.1317856,-0.22915249,-0.13560489,,2016.0,1.1883717,222,0.0014834405,309.12946,1,0,13,2.229008,,0.0,4.5,6000.0,925.887,9,,,,,,,,,1636148068921376768,5996.3154,5994.7227,5997.86,6.5295577,0.8883314,13,13,"Gaia DR2 1779546757669063552, Gaia E/DR1 1779546753373081600"
