Name ,Spt,Survey,Teff (K),Prot (d)
GJ 1214,M4.5,MUSCLES,3111,53
GJ 876,M5,MUSCLES,3201,96.7
GJ 436,M3.5,MUSCLES,3477,48
GJ 581,M5,MUSCLES,3424,94.2
GJ 667C,M1.5,MUSCLES,3443,105
GJ 176,M2.5,MUSCLES,3632,38.9
GJ 832,M1.5,MUSCLES,3539,40
HD 85512,K6,MUSCLES,4300,47.1
HD 40307,K2.5,MUSCLES,4750,48
HD 97658,K1,MUSCLES,5050,48
eps Eri,K2.0,MUSCLES,4900,51
WASP-17,F4,MEATS,6550,-1
HD 149026,G0,MEATS,6160,-1
WASP-127,G5,MEATS,5620,-1
WASP-77 A,G8,MEATS,5500,15.4
LTT 9779,G7,MEATS,5443,45
HAT-P-26,K1,MEATS,5079,-1
HAT-P-12,K5,MEATS,4650,-1
WASP-43,K7,MEATS,4400,15.6
L 678-39,M2.5,MEATS,3505,77.8
L 98-59,M3,MEATS,3415,80.9
LP 791-18,M6,MEATS,2960,-1
GJ 676 A,M0 ,Mega-MUSCLES,4014,41.2
GJ 15 A,M2 ,Mega-MUSCLES,3601,30.5
GJ 649,M1 ,Mega-MUSCLES,3621,23.8
GJ 674,M3 ,Mega-MUSCLES,3404,32.9
GJ 729,M3.5 ,Mega-MUSCLES,3248,2.8
GJ 163,M3.5 ,Mega-MUSCLES,3460,61
GJ 1132,M4 ,Mega-MUSCLES,3196,126.6
L 980-5,M4 ,Mega-MUSCLES,3278,92.2
GJ 849,M3.5 ,Mega-MUSCLES,3492,39.2
GJ 699,M4 ,Mega-MUSCLES,3223,130.4
LHS 2686,M5 ,Mega-MUSCLES,3119,28.8
TRAPPIST-1,M7.5,Mega-MUSCLES,2619,3.3
LTT 1445 A,M3,Other,3337,85
GJ 486,M3.5,Other,3340,130.1
WASP-63,G8,Mega-MEATS,5550,31.8
tau Ceti,G8,Mega-MEATS,5333,34
WASP-121,F6,Mega-MEATS,6459,1.1
HIP 67522,G0,Mega-MEATS,5675,1.418
kappa Ceti,G5,Mega-MEATS,5709,9.3
Kepler-51,G4,Mega-MEATS,5670,8.222
GJ 367,M1,Mega-MEATS,3522,51.3
K2-18,M2.5,Mega-MEATS,3457,38.6
TOI-776,M1,Mega-MEATS,3709,35
GJ 341,M0,Mega-MEATS,3770,9.42
TOI-421,G9,Mega-MEATS,5325,43.24
TOI-134,M1,Mega-MEATS,3800,29.8
WASP-166,F9,Mega-MEATS,6050,12.3
NGTS-10,K5,Mega-MEATS,4400,17.29
TOI-260,M0,Mega-MEATS,4111,31
TOI-836,K7,Mega-MEATS,4552,21.987
HD 15337,K1,Mega-MEATS,5125,36.5
K2-141,K7,Mega-MEATS,4599,13.9
TOI-178,K6,Mega-MEATS,4318,36
HD 80606,G5,Mega-MEATS,5561,1.15
HATS-72,K4,Mega-MEATS,4656,48.725
GJ 4102,M3.5,Mega-MEATS,3300,79.32
eps Indi,K5,Mega-MEATS,4754,32.9
70 Oph B ,K4,Mega-MEATS,4359,-1
AU Mic,M1,Other,3700,4.85
Proximia Cen,M5.5,MUSCLES,3050,83
LHS 3844,M5,Other,3036,128
K2-3,M1,Other,3844,40