Star,fx,fxeu,fxel,kt1,kt1eu,kt1el,kt2,kt2eu,kt2el,kt3,kt3eu,kt3el,abd,nh,tel
TOI-776,2.5,0.5,0.5,0.12,0.03,0.03,0.83,0.13,0.13,0,0,0,0.4,0.01,xmm
WASP-121,1.4,0.5,0.5,0.39,0.0001,0.0001,0,0,0,0,0,0,0.4,5,xmm
Tau_Ceti,60,20,20,0.8,0.3,0.1,0,0,0,0,0,0,0.4,0.001,xmm
HD120411,122,8,8,1.13,0.07,0.07,0,0,0,0,0,0,0.4,0.1,cxo
GJ367,10,0.8,0.8,0.12,0.09,0.02,0.67,0.07,0.13,0,0,0,0.4,0.01,xmm
HD15337,1.38,0.16,0.16,,,,,,,,,,,,
GJ341,4.1,0.5,0.45,0.14,0.04,0.03,0.83,0.27,0.17,0,0,0,0.4,0.03,xmm
TOI-836,7.6,1,0.9,0.26,0.025,0.025,0.672,0,0,0,0,0,0.4,0.001,xmm
TOI-134,2.4,0.3,0.3,0.19,0.026,0.026,0.9,0.46,0.5,0,0,0,0.4,0.01,xmm
WASP-166,0.78,0.17,0.17,0.43,0.11,0.09,0,0,0,0,0,0,0.6,0.01,cxo
TOI-260,1.41,0.45,0.34,0.15,0.06,0.04,0.77,0.3,0.2,0,0,0,0.4,0.1,xmm
TOI-402,1.38,0.16,0.16,0.193,0.05,0.04,0,0,0,0,0,0,0.6,0.1,cxo
eps_Indi,164,25,19,0.22,0.03,0.03,1.1,0.6,0.3,0,0,0,0.4,0.001,ero
K2-141,1.37,0.28,0.36,0.28,0.03,0.05,0,0,0,0,0,0,0.4,0.1,xmm
TOI-178,0.23,0.12,0.12,0.24,0,0,0,0,0,0,0,0,0.4,0.1,cxo